Sierra Skullcap,enim sit amet nunc viverra dapibus,7,63.0,3
Wild Sweetwilliam,suscipit ligula in lacus curabitur at ipsum ac tellus,7,97.69,2
Winged Sandpuffs,lorem integer tincidunt ante vel,4,87.6,32
Wright's Goldenrod,et ultrices posuere cubilia curae donec pharetra magna,7,53.44,2
Blackish Oxytrope,ut at dolor quis odio,5,95.9,13
Pale Sage,porttitor id consequat in consequat ut nulla,2,81.53,41
Island Babyboot Orchid,ante ipsum primis in faucibus,2,5.58,50
Rattlebox,malesuada in imperdiet et commodo,6,6.73,23
Knotted Hedgeparsley,commodo vulputate justo in blandit ultrices enim,3,43.46,13
Field Pumpkin,in magna bibendum imperdiet nullam,7,39.06,67
Hybrid Willow,posuere cubilia curae duis faucibus accumsan odio,4,46.09,88
Sage,sit amet cursus id turpis integer aliquet massa id lobortis,2,64.02,99
Rough Dubautia,ante ipsum primis in faucibus orci luctus et ultrices,6,76.24,2
Shinyleaf Spirea,amet erat nulla tempus vivamus in felis eu,5,89.11,85
Bigseed Alfalfa Dodder,viverra pede ac diam cras,5,63.19,65
West Virginia Blackberry,semper sapien a libero nam dui proin leo odio,7,37.01,34
Clove,phasellus in felis donec semper sapien a libero,6,56.94,15
Arkansas Alumroot,rhoncus sed vestibulum sit amet cursus,3,63.5,74
Leatherweed,faucibus orci luctus et ultrices,2,45.2,67
Neolloydia,sagittis sapien cum sociis natoque,4,37.94,77
Smooth Azalea,vestibulum rutrum rutrum neque aenean auctor gravida,2,92.6,17
Riverside Spineflower,velit vivamus vel nulla eget eros elementum,6,89.23,97
Common Hop,nulla nunc purus phasellus in felis donec,5,90.44,46
Climbing Bedstraw,cum sociis natoque penatibus et magnis dis parturient,7,82.73,88
Skeletongrass,integer ac leo pellentesque ultrices,6,96.06,97
Columbian Onion,lorem id ligula suspendisse ornare consequat,4,81.65,23
Thickleaf Yerba Santa,lacus curabitur at ipsum ac tellus semper,7,67.58,7
Cypress Graphina Lichen,et tempus semper est quam pharetra magna ac consequat,5,99.72,94
